audi,negro,r8,bjtw17,2011,20673437k
toyota,negro,yaris,pape69,2005,205395288
nissan,negro,sentra,rtos34,2005,182336549
nissan,blanco,tiida,ppps32,2009,209473393
nissan,negro,tiida,kcmi97,2008,135395288
nissan,negro,tiida,wrtx78,2011,183495283
hyundai,negro,elantra,tyue14,2013,17899321k
samsung,negro,sm3,sers21,2015,167334448
lamborghini,rojo,veneno,uvwx10,2010,207268089
alfa romeo,verde,giulietta,asdq23,2005,122235759
ferrari,amarillo,portofino,qggw89,2020,216652329
ferrari,negroRojo,roma,fghw23,2007,154228552
renault,celeste,203,gsdi17,2010,202985687
lamborghini,blanco,aventador,ubjs74,2017,192027927
hyundai,azul,tucson,gpsh18,2020,132781064
nissan,amarillo,versa,urbn92,1996,102468921
ford,gris,focus,ndfp45,2003,162972630
ford,cafe,eco sport,poiu18,2003,170296278
rolls royce,morado,cullinan,oiuy58,2015,202009881
rolls royce,azul,phantom,iuyt66,2003,118604749
opel,verde,vectra,uytr45,2005,209985556
opel,blanco,corsa,ytre22,2021,111111111
opel,negro,astra,trew98,2004,180297286
bmw,blanco,lustro,rewq76,2015,166847389
bmw,rojo,serie,ewql83,2014,193666661
aston martin,azul,db9,wqlk77,2003,178360209
audi,gris,a3,qlkj72,2013,207777777
bentley,amarillo,continental,mnbv27,2006,123234345
citroen,morado,c4,nbvc25,2013,222222222
citroen,negro,c3,bvcx85,2009,198888888
dacia,blanco,sandero,vcxz64,2019,216378266
fiat,azul,marea,zxas99,2003,196666662
ford,celeste,fiesta,vnfh63,2001,119878765
Nissan,Negro,V16,jktw78,1985,147894563
